name,reference,description,url,img_names
Gorra Mesh,CAP-26,"Gorra combinada con malla poliéster y tela poliéster, 6 paneles, con cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 45,0    X 65,0 X 38,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/gorra-mesh/7374/292,"['CAP-26_1.jpg', 'CAP-26_2.jpg', 'CAP-26_3.jpg', 'CAP-26_4.jpg', 'CAP-26_5.jpg', 'CAP-26_6.jpg', 'CAP-26_7.jpg']"
Gorra Trucker,CAP-22,"5 paneles, frente en poliéster espumado y cuatro paneles en poliéster-malla. Botón forrado y cierre a presión. Marca: Se define por puntadas / Bordado o screen / Sublimación en los colores que tienen panel blanco Unidades por Caja: 200   Unidades  Empaque: 65,0    X 45,0 X 38,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/gorra-trucker/3502/292,"['CAP-22_1.jpg', 'CAP-22_2.jpg', 'CAP-22_3.jpg', 'CAP-22_4.jpg', 'CAP-22_5.jpg', 'CAP-22_6.jpg', 'CAP-22_7.jpg', 'CAP-22_8.jpg', 'CAP-22_9.jpg', 'CAP-22_10.jpg', 'CAP-22_11.jpg', 'CAP-22_12.jpg', 'CAP-22_13.jpg', 'CAP-22_14.jpg', 'CAP-22_15.jpg', 'CAP-22_16.jpg', 'CAP-22_17.jpg']"
Gorra Eco - 6 cascos,CAP-16,"En dril liviano, 4 ojetes bordados, botón forrado, frente fusionado, encintado interior, visera indeformable 6 costuras y tafilete cierre velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 38,0    X 45,0 X 65,0 / 17,0 Kg",https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/292,"['CAP-16_1.jpg', 'CAP-16_2.jpg', 'CAP-16_3.jpg', 'CAP-16_4.jpg', 'CAP-16_5.jpg', 'CAP-16_6.jpg', 'CAP-16_7.jpg', 'CAP-16_8.jpg', 'CAP-16_9.jpg']"
Gorra Modena,CAP-27,"Gorra en poliéster, 6 paneles, con cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 45,0    X 65,0 X 38,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/gorra-modena/7375/292,"['CAP-27_1.jpg', 'CAP-27_2.jpg', 'CAP-27_3.jpg', 'CAP-27_4.jpg', 'CAP-27_5.jpg', 'CAP-27_6.jpg', 'CAP-27_7.jpg', 'CAP-27_8.jpg', 'CAP-27_9.jpg']"
Gorra Emergency,CAP-20,"Gorra de seguridad en microfibra, con cinta reflectiva y 5 o 6 paneles, cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 38,0    X 45,0 X 64,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-emergency/5887/292,"['CAP-20_1.jpg', 'CAP-20_2.jpg', 'CAP-20_3.jpg', 'CAP-20_4.jpg']"
Gorra Plegable OFERTA,PM CAP-25,"Gorra plegable en poliéster con funda para guardar. Colores: Amarillo / Azul / Blanco / Negro / Rojo / Verde. Medidas estuche: 9 cm x 10 cm. Medidas gorra: 28.5 cm x 17 cm. Área de marca estuche: 6 cm. Área de marca gorra: 7 cm. Técnica de marca: Screen. Unidades por Caja: 500   Unidades  Empaque: 45,0    X 32,0 X 32,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/gorra-plegable-oferta/7063/292,['PM CAP-25_1.jpg']
Gorra Beisbol,CAP-11,"6 paneles, dril esmerilado, 4 ojetes bordados, visera indeformable 6 costuras, botón forrado, frente fusionado, encintado interior, tafilete absorbente en poliéster algodón, cierre hebilla metálica. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 63,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-beisbol/469/292,"['CAP-11_1.jpg', 'CAP-11_2.jpg', 'CAP-11_3.jpg', 'CAP-11_4.jpg', 'CAP-11_5.jpg', 'CAP-11_6.jpg', 'CAP-11_7.jpg', 'CAP-11_8.jpg', 'CAP-11_9.jpg']"
Gorra Beisbol con Vena,CAP-10,"6 paneles en dril esmerilado, 4 ojetes bordados, visera indeformable con vena, 6 paneles, botón forrado, frente fusionado, encintado interior, tafilete absorbente en poliéster algodón y cierre velcro. Marca: Se define por puntadas / Bordado o screen Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 63,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-beisbol-con-vena/467/292,"['CAP-10_1.jpg', 'CAP-10_2.jpg', 'CAP-10_3.jpg', 'CAP-10_4.jpg', 'CAP-10_5.jpg', 'CAP-10_6.jpg', 'CAP-10_7.jpg']"
Clip de Golf en Silicona 2-1,VA-854,"Clip con cubierta en silicona con marcador metálico imantado. Funciona como clip portabilletes o clip para gorra de golf. Medidas Abierto: 8.5 cm x 3 cm Marca: 1.5 cm / Láser / Litoresina a partir de 500 unidades Unidades por Caja: 500   Unidades  Empaque: 27,0    X 25,0 X 25,0 / 8,5 Kg",https://www.catalogospromocionales.com/p/clip-de-golf-en-silicona-2-1/9147/292,"['VA-854_1.jpg', 'VA-854_2.jpg', 'VA-854_3.jpg', 'VA-854_4.jpg', 'VA-854_5.jpg']"
Gorra Colombia,CAP-19,"5 cascos en dril, visera indeformable con bandera de Colombia, botón forrado, cierres de velcro, encintado interior y tafilete absorbente en poliéster. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 71,0    X 45,0 X 39,0 / 15,5 Kg",https://www.catalogospromocionales.com/p/gorra-colombia/5219/292,"['CAP-19_1.jpg', 'CAP-19_2.jpg', 'CAP-19_3.jpg', 'CAP-19_4.jpg']"
Gorra Plegable OFERTA,PM CAP-25,"Gorra plegable en poliéster con funda para guardar. Colores: Amarillo / Azul / Blanco / Negro / Rojo / Verde. Medidas estuche: 9 cm x 10 cm. Medidas gorra: 28.5 cm x 17 cm. Área de marca estuche: 6 cm. Área de marca gorra: 7 cm. Técnica de marca: Screen. Unidades por Caja: 500   Unidades  Empaque: 45,0    X 32,0 X 32,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/gorra-plegable-oferta/7063/292,['PM CAP-25_1.jpg']
Gorra Scott,CAP-28,"Gorra en poliéster ultra liviano con 6 paneles y cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 37,5    X 45,0 X 59,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/Gorra-Scott/8660/292,"['CAP-28_1.jpg', 'CAP-28_2.jpg', 'CAP-28_3.jpg', 'CAP-28_4.jpg', 'CAP-28_5.jpg', 'CAP-28_6.jpg', 'CAP-28_7.jpg', 'CAP-28_8.jpg', 'CAP-28_9.jpg', 'CAP-28_10.jpg', 'CAP-28_11.jpg']"
